MerchantName,Location,TransactionID,Category,TransactionAmount,AnomalyScore,FraudIndicator,CustomerID,SuspiciousFlag,AccountBalance,LastLogin,Name,Age,Address,Timestamp,MerchantID,Amount,Dates,Day,Week,Month,Year
Merchant 2001,Location 2001,1,Other,79.41360746377397,0.6866994638180963,0,1001,0,9507.27205955636,2022-01-01,Customer 1001,54,Address 1001,2022-02-02 18:00:00,2627,33.670626213973335,2022-02-02 18:00:00,2,5,2,2022
Merchant 2003,Location 2003,3,Travel,33.31035719105734,0.0238568301053087,0,1003,0,1715.321988918382,2022-01-03,Customer 1003,40,Address 1003,2022-01-27 16:00:00,2496,30.9802390482118,2022-01-27 16:00:00,27,4,1,2022
Merchant 2004,Location 2004,4,Travel,46.12111728963105,0.8769943477359176,0,1004,0,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,2022-01-19 17:00:00,2184,11.167088142720043,2022-01-19 17:00:00,19,3,1,2022
Merchant 2004,Location 2004,4,Travel,46.12111728963105,0.8769943477359176,0,1004,0,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,2022-02-08 08:00:00,2111,45.84978420861537,2022-02-08 08:00:00,8,6,2,2022
Merchant 2005,Location 2005,5,Other,54.05161801340517,0.0340587726731107,0,1005,0,5405.766913696731,2022-01-05,Customer 1005,46,Address 1005,2022-01-25 22:00:00,2191,81.80865066013159,2022-01-25 22:00:00,25,4,1,2022
Merchant 2007,Location 2007,7,Food,55.383112817522296,0.1098916756547063,0,1007,0,2957.760054296896,2022-01-07,Customer 1007,33,Address 1007,2022-01-04 04:00:00,2753,41.21158341874049,2022-01-04 04:00:00,4,1,1,2022
Merchant 2008,Location 2008,8,Travel,17.855877857196635,0.7805342072486868,0,1008,0,8303.773585052018,2022-01-08,Customer 1008,21,Address 1008,2022-01-20 11:00:00,2468,91.1696888971712,2022-01-20 11:00:00,20,3,1,2022
Merchant 2009,Location 2009,9,Retail,75.65994449829373,0.0104709053716154,1,1009,0,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,2022-01-13 05:00:00,2253,35.15145130726461,2022-01-13 05:00:00,13,2,1,2022
Merchant 2009,Location 2009,9,Retail,75.65994449829373,0.0104709053716154,1,1009,0,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,2022-02-08 01:00:00,2701,96.52314248884213,2022-02-08 01:00:00,8,6,2,2022
Merchant 2012,Location 2012,12,Food,17.797222024189402,0.4517349450635481,0,1012,0,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,2022-01-05 05:00:00,2736,61.65899469709107,2022-01-05 05:00:00,5,1,1,2022
Merchant 2012,Location 2012,12,Food,17.797222024189402,0.4517349450635481,0,1012,0,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,2022-01-30 19:00:00,2400,81.243458802052,2022-01-30 19:00:00,30,4,1,2022
Merchant 2014,Location 2014,14,Travel,43.691459478352925,0.9973396329012194,0,1014,0,9922.29197304782,2022-01-14,Customer 1014,27,Address 1014,2022-02-09 08:00:00,2568,42.60535294784076,2022-02-09 08:00:00,9,6,2,2022
Merchant 2016,Location 2016,16,Other,47.62737483292299,0.4559473695840319,0,1016,0,8612.857297188031,2022-01-16,Customer 1016,22,Address 1016,2022-01-23 16:00:00,2264,68.36571539188091,2022-01-23 16:00:00,23,3,1,2022
Merchant 2017,Location 2017,17,Other,83.80043412877465,0.0786169688869532,0,1017,0,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,2022-01-06 21:00:00,2919,74.95521382139967,2022-01-06 21:00:00,6,1,1,2022
Merchant 2017,Location 2017,17,Other,83.80043412877465,0.0786169688869532,0,1017,0,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,2022-01-12 00:00:00,2055,41.54205962794481,2022-01-12 00:00:00,12,2,1,2022
Merchant 2017,Location 2017,17,Other,83.80043412877465,0.0786169688869532,0,1017,0,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,2022-02-02 23:00:00,2173,72.01022436079609,2022-02-02 23:00:00,2,5,2,2022
Merchant 2018,Location 2018,18,Travel,67.01973545243015,0.5328202953043202,0,1018,0,2727.830524924492,2022-01-18,Customer 1018,28,Address 1018,2022-01-19 10:00:00,2275,48.00091682800642,2022-01-19 10:00:00,19,3,1,2022
Merchant 2019,Location 2019,19,Food,79.67952921186595,0.2520122859524184,1,1019,0,3797.734535980661,2022-01-19,Customer 1019,37,Address 1019,2022-01-06 20:00:00,2209,61.41387641863861,2022-01-06 20:00:00,6,1,1,2022
Merchant 2019,Location 2019,19,Food,79.67952921186595,0.2520122859524184,1,1019,0,3797.734535980661,2022-01-19,Customer 1019,37,Address 1019,2022-01-24 14:00:00,2444,39.17632975406391,2022-01-24 14:00:00,24,4,1,2022
Merchant 2020,Location 2020,20,Travel,23.12632324762183,0.2791586079368224,0,1020,0,3552.855147081368,2022-01-20,Customer 1020,55,Address 1020,2022-02-10 18:00:00,2910,52.33810790461614,2022-02-10 18:00:00,10,6,2,2022
Merchant 2022,Location 2022,22,Online,53.84670686845873,0.1242284781235212,0,1022,0,4265.273573478986,2022-01-22,Customer 1022,55,Address 1022,2022-01-09 04:00:00,2125,41.600666147750765,2022-01-09 04:00:00,9,1,1,2022
Merchant 2023,Location 2023,23,Travel,15.579538194663694,0.1953263896357612,0,1023,0,9545.47486907634,2022-01-23,Customer 1023,34,Address 1023,2022-01-05 04:00:00,2433,58.92390637798005,2022-01-05 04:00:00,5,1,1,2022
